시설명,시설유형,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,전화번호,건립일자,건물면적,관리기관명,데이터기준일자,제공기관코드,제공기관명
오산5리,마을회관및경로당,충청북도 청주시 흥덕구 옥산면 오산5길 28,충청북도 청주시 흥덕구 옥산면 오산리 257-5,36.66450185,127.3687417,영업,,1996-01-26,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오산6리,경로당,충청북도 청주시 흥덕구 옥산면 옥산시내1길 3-6 (대신A 관리동),충청북도 청주시 흥덕구 옥산면 오산리 384-17,36.66315141,127.3720492,영업,,1995-10-31,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오산9리,경로당,충청북도 청주시 흥덕구 옥산면 청주역로 705 (한울1차A 관리동),충청북도 청주시 흥덕구 옥산면 오산리 160-1,36.66682486,127.3684831,영업,,1993-08-04,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오송1리경로당,마을회관및경로당,충청북도 청주시 흥덕구 오송읍 오송4길 19-8,충청북도 청주시 흥덕구 오송읍 오송리 70-1,36.61263706,127.3271279,영업,,1989-05-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오송2리경로당,마을회관및경로당,충청북도 청주시 흥덕구 오송읍 가로수로 199-38,충청북도 청주시 흥덕구 오송읍 오송리 61-3,36.61182437,127.3255302,영업,,1989-05-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오송3리경로당,마을회관및경로당,충청북도 청주시 흥덕구 오송읍 오송1길 21-42,충청북도 청주시 흥덕구 오송읍 오송리 253-8,36.6102443,127.3279339,영업,,1989-05-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오송5리 마을회관,마을회관,"충청북도 청주시 흥덕구 오송읍 오송1길 154, 2층","충청북도 청주시 흥덕구 오송읍 오송리 360-135, 2층",36.60016167,127.3323196,영업,,1990-08-01,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오송5리경로당,경로당,충청북도 청주시 흥덕구 오송읍 오송1길 154,충청북도 청주시 흥덕구 오송읍 오송리 360-135,36.60016167,127.3323196,영업,,1990-08-01,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오송6리경로당,경로당,충청북도 청주시 흥덕구 오송읍 가로수로 162 (재원A),충청북도 청주시 흥덕구 오송읍 오송리 263-3,36.6091508,127.3230732,영업,,2006-12-18,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오송7리경로당,마을회관및경로당,충청북도 청주시 흥덕구 오송읍 오송동평길 27-13,충청북도 청주시 흥덕구 오송읍 오송리 243-9,36.60717616,127.3230343,영업,,2015-01-19,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
