"RSTR_NM","DTL_ADRES","RN_DTL_ADRES","LO","LA","USE_PSB_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCDTN","CHCK_MATTER_NIGHT_OPN_AT","FCLTY_OPRN_AT"
"연당경로당","950 연당경로당","충청북도 청주시 흥덕구  흥덕로108번길  26 , 연당경로당 (운천동)",127.4742864,36.6439453,,2,,,"Y"
"세원아파트경로당","677-4","충청북도 청주시 흥덕구 사운로 267 (운천동, 운천세원아파트)",127.4732006,36.6510449,,1,,,"Y"
"분평동행정복지센터","1252 분평동주민센터","충청북도 청주시 서원구 분평동 분평로  35 ,  분평동주민센터 (분평동)",127.489122,36.608696,,10,,"N","Y"
"오창대성베르힐아파트경로당","556-0","충청북도 청주시 청원구 오창읍 2산단로 160",127.454366,36.7346096,,0,,"N","Y"
"농협충북유통","118-0","충청북도 청주시 상당구 무농정로 32",127.506888,36.604643,,0,,,"Y"
"용암우체국","2015-0","충청북도 청주시 상당구 무농정로 51",127.508201,36.607289,,2,,,"Y"
"효성아파트경로당","2086-0","충청북도 청주시 상당구 월평로 221",127.508562,36.608561,,1,,,"Y"
"방서경로당","200-3","충청북도 청주시 상당구 단재로293번길 21 (방서동)",127.5035504,36.6039722,,1,,,"Y"
"용암1동행정복지센터","1589-0","충청북도 청주시 상당구 중흥로 29 (용암동)",127.501305,36.608859,,0,,"N","Y"
"한우리경로당","2105 한우리경로당","충청북도 청주시 상당구 용암동 용암로  36 , 한우리경로당 (용암동)",127.5076363,36.6124882,,2,,"N","Y"
"형석아파트경로당","2088-0","충청북도 청주시 상당구 월평로 207",127.5079595,36.6092946,,2,,,"Y"
"용암2동행정복지센터","2016-0","충청북도 청주시 상당구 무농정로 47",127.508079,36.607144,,2,,,"Y"
"주공5단지경로당","925-0","충청북도 증평군 증평읍 증평로 31-11 (장동주공아파트)",127.5893354,36.7877984,,2,,"N","Y"
"내추1리경로당","7-8","충청북도 청주시 청원구 북이면 내추옥수길 31-6 ",127.5543943,36.7625265,,1,,"Y","Y"
"내추2리경로당","348-0","충청북도 청주시 청원구 북이면 내추길 61-2 ",127.5460848,36.7612866,,1,,"Y","Y"
"신대1리경로당","302-1","충청북도 청주시 청원구 북이면 신대길 22-10 ",127.5401437,36.7403221,,1,,"Y","Y"
"장양2리경로당","691-0","충청북도 청주시 청원구 북이면 장양2길 81-1 ",127.5265101,36.7663168,,1,,"Y","Y"
"금암1리경로당","14-1","충청북도 청주시 청원구 북이면 금암1길 51 ",127.5624168,36.7529789,,1,,"Y","Y"
"장양4리경로당","29-0","충청북도 청주시 청원구 북이면 대율내추길 319-17 ",127.5463235,36.7572145,,1,,"Y","Y"
"토성1리경로당","205-0","충청북도 청주시 청원구 북이면 토성1길 63-1 ",127.5670087,36.7476899,,1,,"Y","Y"
"창동1.2.3남자","261-0","충청북도 증평군 증평읍 중앙로5길 20 ",127.5777364,36.7836283,,1,,"N","Y"
"KB국민은행증평지점","60-0","충청북도 증평군 증평읍 충청대로 1758 (예다인)",127.5808007,36.7862002,,1,,"N","Y"
"쌍수2리경로당","345-16","충청북도 청주시 상당구 남일면 쌍수관기길 20-1",127.5137538,36.575867,,3,,"N","Y"
"증평1·3리","371-0","충청북도 증평군 증평읍 삼일로 51-8 ",127.5842619,36.7810785,,1,,"N","Y"
